DatasetID,FileName,PID,URL,タイトル,巻次,シリーズ,版表示,著者,出版者,出版年,出版年(W3CDTF),ISBN,冊数（ページ数・大きさ）,NDC分類,NDC分類（第８版）,NDC分類（第９版）,NDLC分類,件名（NDLSH）,公開範囲
1870,1084600.xml,1084600,https://dl.ndl.go.jp/info:ndljp/pid/1084600,愛媛縣布達全書 : 索引,明治7年,,,,[出版者不明],[1874],1874,,41丁 ; 19cm,318.1,,,,,インターネット公開（保護期間満了）
1870,1084676.xml,1084676,https://dl.ndl.go.jp/info:ndljp/pid/1084676,五洲近事,第3號,,,,[出版者不明],1877,1877,,,,,,,,インターネット公開（保護期間満了）
1870,1084984.xml,1084984,https://dl.ndl.go.jp/info:ndljp/pid/1084984,學藝志林,第23册,,,東京大學法理文三學部 編,日就社,1879,1879,,,,,,,,インターネット公開（保護期間満了）
1870,1085482.xml,1085482,https://dl.ndl.go.jp/info:ndljp/pid/1085482,教育新聞,第19號,,,,大阪教育社,1878,1878,,,,,,,,インターネット公開（保護期間満了）
1870,1089486.xml,1089486,https://dl.ndl.go.jp/info:ndljp/pid/1089486,大同類聚方,自4至13巻,,,"安部真貞, 出雲広貞 著||豊洲武藤吉得 校||井上頼圀 閲",[ ],明治3序,1870,,,499,,,,,インターネット公開（保護期間満了）
1870,1089506.xml,1089506,https://dl.ndl.go.jp/info:ndljp/pid/1089506,大同類聚方,自27至36巻,,,"安部真貞, 出雲広貞 著||豊洲武藤吉得 校||井上頼圀 閲",[ ],明治3序,1870,,,499,,,,,インターネット公開（保護期間満了）
1870,1089540.xml,1089540,https://dl.ndl.go.jp/info:ndljp/pid/1089540,大同類聚方,自70至81巻,,,"安部真貞, 出雲広貞 著||豊洲武藤吉得 校||井上頼圀 閲",[ ],明治3序,1870,,,499,,,,,インターネット公開（保護期間満了）
1870,1229508.xml,1229508,https://dl.ndl.go.jp/info:ndljp/pid/1229508,内務省衛生局雑誌,第1-5号,,,,内務省衛生局,明9,1876,,,498,,,,,インターネット公開（保護期間満了）
1870,1365422.xml,1365422,https://dl.ndl.go.jp/info:ndljp/pid/1365422,憲法志料,三篇　巻五,,,,,明治10-14年,1877,,,,,,,,インターネット公開（保護期間満了）
1870,1365643.xml,1365643,https://dl.ndl.go.jp/info:ndljp/pid/1365643,国法汎論,下帙　第一冊,,,,,明治5年,1872,,,,,,,,インターネット公開（保護期間満了）
1870,1365776.xml,1365776,https://dl.ndl.go.jp/info:ndljp/pid/1365776,仏国政典,六,,,,,明治6年,1873,,,,,,,,インターネット公開（保護期間満了）
1870,1366289.xml,1366289,https://dl.ndl.go.jp/info:ndljp/pid/1366289,各国刑法類纂,第一巻,,,,,明治10年,1877,,,,,,,,インターネット公開（保護期間満了）
1870,1366295.xml,1366295,https://dl.ndl.go.jp/info:ndljp/pid/1366295,各国刑法類纂,第七巻,,,,,明治10年,1877,,,,,,,,インターネット公開（保護期間満了）
1870,1366337.xml,1366337,https://dl.ndl.go.jp/info:ndljp/pid/1366337,仏国刑法講義,第十一號,,,,,明治12-15年,1879,,,,,,,,インターネット公開（保護期間満了）
1870,1366563.xml,1366563,https://dl.ndl.go.jp/info:ndljp/pid/1366563,憲法類編,第十一,,,,,明治6年,1873,,,,,,,,インターネット公開（保護期間満了）
1870,1366574.xml,1366574,https://dl.ndl.go.jp/info:ndljp/pid/1366574,憲法類編,第二十二,,,,,明治6年,1873,,,,,,,,インターネット公開（保護期間満了）
1870,1366584.xml,1366584,https://dl.ndl.go.jp/info:ndljp/pid/1366584,第二憲法類編,第四冊,,,,,明治7年,1874,,,,,,,,インターネット公開（保護期間満了）
1870,1366596.xml,1366596,https://dl.ndl.go.jp/info:ndljp/pid/1366596,第二憲法類編,第十六冊,,,,,明治7年,1874,,,,,,,,インターネット公開（保護期間満了）
1870,1366934.xml,1366934,https://dl.ndl.go.jp/info:ndljp/pid/1366934,出納沿革　例規類纂,（乾二）,,,,,明治10-13年,1877,,,,,,,,インターネット公開（保護期間満了）
1870,1366936.xml,1366936,https://dl.ndl.go.jp/info:ndljp/pid/1366936,出納沿革　例規類纂,（乾坤）,,,,,明治10-13年,1877,,,,,,,,インターネット公開（保護期間満了）
1870,1367284.xml,1367284,https://dl.ndl.go.jp/info:ndljp/pid/1367284,質問録,第二號,,,,,明治10年,1877,,,,,,,,インターネット公開（保護期間満了）
1870,1886149.xml,1886149,https://dl.ndl.go.jp/info:ndljp/pid/1886149,内外各種新聞要録,第3号,,,蕉雨堂主人 [編纂],萬巻樓,1872.10,1872,,50丁 ; 23cm,,,210.6,GB415||GA75,世界史--19世紀,インターネット公開（保護期間満了）
1870,1911688.xml,1911688,https://dl.ndl.go.jp/info:ndljp/pid/1911688,啓蒙日本外史,巻之29,,,大槻誠之 解||渡辺約郎 校,和泉屋善兵衛[ほか],1875.11,1875,,,210,,,,,インターネット公開（保護期間満了）
1870,1917775.xml,1917775,https://dl.ndl.go.jp/info:ndljp/pid/1917775,萬法精理,自卷六至卷七,,,孟徳斯鳩 著||何禮之 譯,何禮之,1875-1876,1875,,,320,,,,,インターネット公開（保護期間満了）
1870,2937352.xml,2937352,https://dl.ndl.go.jp/info:ndljp/pid/2937352,権限提綱 巻之一 同権本論 男女同権論 父子同権論 天,,,,"Spencer, Herbert（波斯邊鎖） 著",慶應義塾出版社,1877,1877,,,,,,,,インターネット公開（保護期間満了）
1870,2937396.xml,2937396,https://dl.ndl.go.jp/info:ndljp/pid/2937396,区画改正 戸長必携 甲編,,,,弾舜平 編纂,日新斎,1879,1879,,,,,,,,インターネット公開（保護期間満了）
1870,2937818.xml,2937818,https://dl.ndl.go.jp/info:ndljp/pid/2937818,刑法草案註解 三 第百一條～第百三十條,,,,"Boissonade, Gustove Emile 述",,1879,1879,,,,,,,,インターネット公開（保護期間満了）
1870,2937848.xml,2937848,https://dl.ndl.go.jp/info:ndljp/pid/2937848,日本刑法草案,,,,鶴田皓 ほか編纂,,1877,1877,,,,,,,,インターネット公開（保護期間満了）
1870,2938141.xml,2938141,https://dl.ndl.go.jp/info:ndljp/pid/2938141,国際法一名萬國公法 上編三,,,,"Woolsey,Theodore D. 著",二書堂,1873/03/01,1873-03-01,,,,,,,,インターネット公開（保護期間満了）
1870,2938143.xml,2938143,https://dl.ndl.go.jp/info:ndljp/pid/2938143,国際法一名萬國公法 上編五,,,,"Woolsey,Theodore D. 著",二書堂,1873/03/01,1873-03-01,,,,,,,,インターネット公開（保護期間満了）
1870,2938270.xml,2938270,https://dl.ndl.go.jp/info:ndljp/pid/2938270,太政官達 明治十二年 第五,,,,,,1879,1879,,,,,,,,インターネット公開（保護期間満了）
1870,2938360.xml,2938360,https://dl.ndl.go.jp/info:ndljp/pid/2938360,内務省布達 明治八年 甲第一号ー甲第二十三号,,,,,,1875,1875,,,,,,,,インターネット公開（保護期間満了）
1870,2938497.xml,2938497,https://dl.ndl.go.jp/info:ndljp/pid/2938497,明治六年 京都府布令書 明治六年自七月至十二月,,,,京都府 編纂,京都府,1873,1873,,,,,,,,インターネット公開（保護期間満了）
1870,2938546.xml,2938546,https://dl.ndl.go.jp/info:ndljp/pid/2938546,民事要録 丙編 第一巻～第二十六巻,,,,東京裁判所 編纂,,1875,1875,,,,,,,,インターネット公開（保護期間満了）
1870,2938592.xml,2938592,https://dl.ndl.go.jp/info:ndljp/pid/2938592,律例權衡便覧 一 懲役一十日～懲役六十日,,,,村田保 編,北畠茂兵衛 ほか,1876,1876,,,,,,,,インターネット公開（保護期間満了）
